Ticker,Probability,ret5,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,ML_Probability
AHMA,,1.888888908511817,,74.57312300091247,1.063831748261289,1.0,1.0,1.0,49.65353944991753
BNAI,,0.5522340550124241,,69.18284500183798,2.7807875182518584,1.0,1.0,1.0,
BTDR,,0.2717391304347827,,66.11084399247301,2.396792751885364,1.0,1.0,1.0,48.965029763329305
CRML,,0.3025454434481534,,75.48369539457579,3.4840929676108936,1.0,1.0,1.0,51.13469060346178
LPTH,,0.0927049620066309,,73.68266579152701,2.300110656935258,0.8773280353975206,1.0,1.0,50.40746175105008
LUNR,,0.0590655241833255,,66.89946264103816,0.9009227530787236,0.7877780910713647,1.0,1.0,49.12811405345086
ORIC,,0.3041473844274218,,71.3123957779008,2.205723640798832,1.0,1.0,1.0,49.37823741156422
POET,,0.1006711435169793,,66.32398573686689,1.6386965910652336,1.0,1.0,1.0,48.22507443963216
SLDB,,0.0401069339175963,,57.374871253501816,1.5945949196046592,0.7279321995414774,1.0,1.0,49.01248493012225
TGB,,0.207825345316112,,81.50124980932446,1.8487696557993796,1.0,1.0,1.0,49.140905325617126
TNGX,,0.0491942260884363,,68.08610571212868,1.3309031463447507,1.0,1.0,1.0,48.02570807346038
UAMY,,0.1202168489920003,,64.61518654082491,1.3909771134593418,0.9578057025172896,1.0,1.0,50.305351967962764
UEC,,0.1945215180537425,,73.484948453107,1.2909700504736166,1.0,1.0,1.0,48.79270452652898
VKTX,,0.0657812595168623,,50.78766439113972,1.951123397235728,0.5302028045124529,1.0,0.0,48.57155912279204
